,Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,Missed Count
5341,88943,08/08/18,Trash - Curbside/Alley Missed Pickup,504 Tyne Ct was missed . The cart sits on Highway 100 between W Tyne Dr and Gilman Dr.,504 Tyne Ct,37205.0,RED RIVER,1302,34.0,1710600.36152354,642908.136876859,True
5342,88944,08/08/18,Trash Collection Complaint,"On several occasions, the people working have dropped trash on the ground around the bins, failed to collect all the trash in the bins, knocked over bins as they were going past.  They seem not to care about collecting all the trash out of your bin.  They often do not use the arm on the trash truck and just grab what they can from the bins.  However, the bins are large and they do not grab bags that are closer to the bottom.  I regularly have to clean up around the bins.  Today, I also had broken glass in front of my driveway from either the trash or recycling crew.  Had I not seen it and cleaned it up, I would have certainly gotten a flat tire.",319 Harvard Ave,37205.0,METRO,9307,24.0,1722573.73381092,657614.11906206,False
5343,88947,08/08/18,Trash - Curbside/Alley Missed Pickup,miss,417 arrowwood dr,37211.0,RED RIVER,2401,26.0,1744474.51961995,632854.901435702,True
5344,88951,08/08/18,Trash - Curbside/Alley Missed Pickup,"Our street was missed again this week and addresses 4013, 4015 & 4017 were not picked up. Thanks.",4029 Graybar Ct,37215.0,RED RIVER,3305,25.0,1729984.87099743,648823.921478932,True
5345,88952,08/08/18,Trash - Curbside/Alley Missed Pickup,Missed pickup,4029 Graybar Court,37215.0,,,25.0,1729956.32152772,648515.538582228,True
5346,88953,08/08/18,Trash - Backdoor,"No details, just that trash wasn't picked up.",605 Westover Ave,37205.0,RED RIVER,1302,23.0,1714130.93360618,645017.303579219,False
5347,88966,08/08/18,Trash - Curbside/Alley Missed Pickup,I received a complaint from my neighbors regarding excess trash. Metro has not been down the alley to pick up our trash in more than two weeks.,408 Rudolph Ave,37206.0,METRO,9503,6.0,1749967.06454,673161.957029067,False
5348,88973,08/09/18,Trash - Curbside/Alley Missed Pickup,Curbside missed Trash/Tuesday.,2830 Vista Ln,37207.0,RED RIVER,3201,2.0,1733730.73463011,691529.704992987,True
5349,88974,08/09/18,Trash - Curbside/Alley Missed Pickup,missed entire alley,1412 Meharry Blvd,37208.0,METRO,9208,19.0,1731814.09261419,669396.463150055,True
5350,88976,08/09/18,Trash - Curbside/Alley Missed Pickup,Cart still out- says she has been skipped and this has been an ongoing issue.,4307 lone oak rd,37215.0,RED RIVER,3305,25.0,1729247.90755441,643581.341030258,False
5351,88978,08/09/18,Trash Collection Complaint,only getting one trash cart,101 Joyner Ave,37210.0,WASTE IND,4406,16.0,1749494.73772942,649673.278092851,False
5352,88984,08/09/18,Trash - Curbside/Alley Missed Pickup,Missed trash pickup. UNIT-B,4522 Michigan Ave,37209.0,RED RIVER,1309,20.0,1719874.83079433,665703.369339323,True
5353,89034,08/09/18,Trash - Curbside/Alley Missed Pickup,this area missed,409 Claymille Ct,37207.0,RED RIVER,3201,2.0,1732164.22930608,691333.200940273,True
5354,89037,08/09/18,Trash - Backdoor,Backdoor missed. Needs pickup,3723 Hewlett Dr,37211.0,RED RIVER,4302,16.0,1752996.07135195,641304.9926085,True
5355,89045,08/09/18,Trash - Curbside/Alley Missed Pickup,cart still out,3520 Central Ave,37205.0,METRO,9307,24.0,1724752.95114087,657834.833862922,False
5356,89048,08/09/18,Trash - Curbside/Alley Missed Pickup,this area missed,408 Claymille Ct,37207.0,RED RIVER,3201,2.0,1732154.01497752,691170.006334189,True
5357,89065,08/09/18,Trash - Curbside/Alley Missed Pickup,miss,3318 trevor st,37209.0,METRO,9303,21.0,1724601.12864789,663941.1373724,True
5358,89075,08/09/18,Trash - Curbside/Alley Missed Pickup,Missed.,2215 Kirk Ave,37218.0,RED RIVER,4204,2.0,1724683.32089526,679983.118278517,True
5359,89085,08/09/18,Trash - Backdoor,cart at Address 702 G Bowling Ave is still out,702 Bowling ave,37215.0,RED RIVER,2303,24.0,1724426.71652925,652027.394176877,False
5360,89092,08/09/18,Trash - Curbside/Alley Missed Pickup,this side of street missed,1918 Kimbark Dr,37215.0,RED RIVER,3305,25.0,1728290.22913217,644618.973934045,True
5361,89097,08/09/18,Trash - Backdoor,Backdoor/Trash missed pickup Wednesday.,106 Westover Ave,37205.0,RED RIVER,1302,23.0,1713987.17717736,643515.319134424,True
5362,89118,08/09/18,Trash - Curbside/Alley Missed Pickup,"Missed again 3rd week Wednesday. Curbside {even if cart is not full trash/still needs to be emptied, cart are set on Louisiana side.",1319 51st Ave N B,37209.0,METRO,9302,20.0,1717729.56646889,666676.839933913,True
5363,89125,08/09/18,Trash - Curbside/Alley Missed Pickup,Trash/been missed often last Friday as well. ALLEY** truck is not coming back to the dead end.,910 w greenwood ave,37206.0,WASTE IND,2509,5.0,1746406.3849202,677014.523352638,True
5364,89151,08/09/18,Trash - Curbside/Alley Missed Pickup,miss,2811 westmoreland dr,37212.0,METRO,9301,18.0,1728360.1290433,655139.788285568,True
5365,89153,08/09/18,Trash - Curbside/Alley Missed Pickup,missed,5411 california ave,37209.0,METRO,9302,20.0,1716347.5656616,667455.058088357,True
5366,89187,08/09/18,Trash - Curbside/Alley Missed Pickup,"Regular pickup day is Wednesday. Recycling was picked up (it was our designated week for that), but the regular trash was not picked up.  It is still there in the brown cart at the end of our driveway.",117 Brighton Close,37205.0,METRO,9307,24.0,1723710.35130188,653788.33459307,False
5367,89196,08/09/18,Trash - Curbside/Alley Missed Pickup,cart missed for 2nd week,514 Raymond St,37211.0,METRO,9408,16.0,1748529.59572233,643663.200348869,True
5368,89216,08/09/18,Trash - Curbside/Alley Missed Pickup,cust says others were picked up but not his,350 brewer dr,37211.0,RED RIVER,3403,27.0,1758961.5874584,627460.524561488,False
5369,89219,08/09/18,Trash - Curbside/Alley Missed Pickup,cust says everyone else's carts are empty,1308 little hamilton ave,37203.0,WASTE IND,2408,17.0,1742660.54695296,658692.031529379,False
5370,89228,08/09/18,Trash - Curbside/Alley Missed Pickup,5 to 6 homes were not collected- says alley is a T and they are going down one side of the alley but not the other.,2805 Westmoreland Dr,37212.0,METRO,9301,18.0,1728566.81080039,655134.431230977,False
5371,89246,08/09/18,Trash - Curbside/Alley Missed Pickup,cart still out,18 Lymington Ct,37027.0,RED RIVER,2402,4.0,1742579.92247646,624568.256425728,False
5372,89264,08/09/18,Trash - Curbside/Alley Missed Pickup,Says they have not been collected in 3 weeks. Cart sits on sidewalk,3804 Charlotte Ave,37209.0,WASTE IND,3306,24.0,1723043.97434228,663430.132712394,False
5373,89286,08/09/18,Trash - Backdoor,Missed.,557 Whispering Hills Dr,37211.0,RED RIVER,2405,27.0,1753608.86822719,631125.587224841,True
5374,89305,08/09/18,Trash - Backdoor,Missed again.,6609 rolling fork dr,37205.0,RED RIVER,1304,23.0,1699653.12243107,642290.559092751,True
5375,89314,08/09/18,Trash - Backdoor,Missed.,291 April Ln,37211.0,RED RIVER,3403,27.0,1758599.36901152,627706.507810043,True
5376,89316,08/09/18,Trash - Backdoor,Missed.,669 Huntington Ridge Dr,37211.0,RED RIVER,3402S,27.0,1750681.78563674,626314.614432897,True
5377,89342,08/09/18,Trash - Curbside/Alley Missed Pickup,cart still out,4912 olivia dr,37013.0,RED RIVER,3404,30.0,1764639.40981121,629043.549067235,False
5378,89363,08/09/18,Trash - Curbside/Alley Missed Pickup,My cart as well as other carts was missed. No construction or anything keeping from picking up trash,120 Bess Ct S,37013.0,RED RIVER,4404,31.0,1764455.5370348,625527.292990392,True
5379,89364,08/09/18,Trash - Curbside/Alley Missed Pickup,My cart and some more carts was chosen NOT to be picked up,125 Bess Ct S,37013.0,RED RIVER,4404,31.0,1764449.55128939,625463.733276935,False
5380,89392,08/10/18,Trash - Curbside/Alley Missed Pickup,Dead end street missed for 2 weeks in row Thursday. Also others missed. Must be a new driver.,5205 Wessex Dr,37211.0,RED RIVER,3403,27.0,1759216.33761828,627628.093772543,True
5381,89396,08/10/18,Trash - Curbside/Alley Missed Pickup,Curb trash/did not emptied 2nd trash/cart. Thursday. Why? both carts out the same time.,1010 Massman Dr,37217.0,RED RIVER,1401,13.0,1759624.9413445,657073.886531051,False
5382,89400,08/10/18,Trash - Curbside/Alley Missed Pickup,"Curbside trash/miss Friday, truck already come and gone. He seem him just by pass his and picked up neighbor's same side as his. Why?",925 McClurkan Ave,37206.0,METRO,9503,5.0,1747839.14484252,679203.101892979,True
5383,89404,08/10/18,Trash - Backdoor,cart still out,403 ritchie dr,37220.0,RED RIVER,2401,26.0,1745592.54526371,627880.533903325,False
5384,89408,08/10/18,Trash - Curbside/Alley Missed Pickup,Per previous ticket the cart was not out. The cart is still out and has not been moved.,3835 hydes ferry rd,37218.0,RED RIVER,4202,2.0,1719024.33167977,679975.302572556,False
5385,89412,08/10/18,Trash - Curbside/Alley Missed Pickup,Missed-trash,1106 halcyon Ave,37204.0,METRO,9403,17.0,1735526.17938708,652298.05217107,True
5386,89416,08/10/18,Trash - Curbside/Alley Missed Pickup,miss,4949 barella dr,37013.0,RED RIVER,3404,30.0,1766213.20502346,629184.11654943,True
5387,89463,08/10/18,Trash - Curbside/Alley Missed Pickup,Missed- trash,1912 kimbark dr,37215.0,RED RIVER,3305,25.0,1728424.4079183,644612.760503953,True
5388,89464,08/10/18,Trash Collection Complaint,Trash at this address has been sitting in the brown can curbside for weeks. she just watched the trash truck drive by it again today. She does not understand why it has not been collected but would like to see it emptied.,403 Mckeige Ct,37214.0,RED RIVER,2502,15.0,1770163.18679487,663382.350823367,False
5389,89467,08/10/18,Trash - Curbside/Alley Missed Pickup,miss,1025 villa pl,37212.0,METRO,9407,19.0,1734691.99399532,660357.701251263,True
5390,89470,08/10/18,Trash - Curbside/Alley Missed Pickup,Trash/Cart out by 7:00 a.m. trash truck came before 7:00 a.m. and caller wants trash/cart emptied today. Curbside. Friday,1213 Holly St,37206.0,METRO,9506,6.0,1747877.93447181,671641.702313874,False
5391,89480,08/10/18,Trash - Backdoor,Paid-Backdoor trash/not pickup TUESDAY** PAID in advanced for a whole year!,105 westover ave,37205.0,RED RIVER,1302,23.0,1714028.59916988,643460.098781805,False
5392,89489,08/10/18,Trash - Backdoor,Backdoor Trash Miss,4809 overcrest dr,37211.0,RED RIVER,2404,26.0,1751386.73507094,635156.895262498,True
5393,89494,08/10/18,Trash - Backdoor,Missed- backdoor,135 woodmont blvd a,37205.0,RED RIVER,2303,24.0,1719049.20078637,651858.943775446,True
5394,89508,08/10/18,Trash - Curbside/Alley Missed Pickup,Missed.,5205 cardiff dr,37211.0,RED RIVER,4402,27.0,1751448.79490917,624599.122476994,True
5395,89516,08/10/18,Trash - Backdoor,missed backdoor trash still has not been picked up,128 laird rd,37205.0,RED RIVER,1304,23.0,1710957.93115566,647104.029745211,True
5396,89528,08/10/18,Trash - Curbside/Alley Missed Pickup,"Garbage truck picked up containers some of Elmshade Lane yesterday, but, did not pick up about a dozen or so curbside containers.",1016 Elmshade Ln,37211.0,RED RIVER,4402,4.0,1754129.0554559,620425.019706269,False
5397,89530,08/10/18,Trash - Curbside/Alley Missed Pickup,Missed.,1819 10th Ave S,37203.0,METRO,9401,17.0,1736704.76302665,656833.628919865,True
5398,89534,08/10/18,Trash - Curbside/Alley Missed Pickup,Trash/Curb missed Thursday.,544 Roxanne Dr,37013.0,RED RIVER,4404,31.0,1762437.12186956,624577.904270887,True
5399,89537,08/10/18,Trash - Backdoor,missed backdoor pickup,2908 Mashburn Rd,37211.0,RED RIVER,4304,16.0,1752422.82757677,646887.774392441,True
5400,89547,08/10/18,Trash - Curbside/Alley Missed Pickup,cart still out,3257 Panorama Dr,37218.0,RED RIVER,4204,1.0,1719848.26521128,674619.16838198,False
5401,89548,08/10/18,Trash - Curbside/Alley Missed Pickup,Picked up across street- from 401 down they were missed.,417 Cedarview Dr,37211.0,RED RIVER,4403,31.0,1760078.41090433,622776.110287017,True
5402,89552,08/10/18,Trash - Curbside/Alley Missed Pickup,Missed.,1005 Elmshade Ln,37211.0,RED RIVER,4402,4.0,1754098.44561363,620651.401111931,True
5403,89558,08/10/18,Trash - Curbside/Alley Missed Pickup,Missed - missed entire neighborhood,1273 MARITIME PRT,37013.0,RED RIVER,4310,33.0,1791946.74008505,627342.33657032,True
5404,89559,08/10/18,Trash - Backdoor,Backdoor/trash missed Thursday. Needs to be emptied before next week's pickup.,507 HARDING PL,37211.0,RED RIVER,2404,26.0,1751993.03831552,635589.807368492,True
5405,89563,08/10/18,Trash - Curbside/Alley Missed Pickup,Curbside/trash miss for Wednesday. One side of street service but not there side.,1906 Kimbark Dr,37215.0,RED RIVER,3305,25.0,1728538.3736341,644591.976413276,True
5406,89580,08/10/18,Trash - Curbside/Alley Missed Pickup,truck skipped her cart,305 paddington ct,37013.0,RED RIVER,3503,33.0,1796352.58740701,633544.378069934,False
5407,89585,08/10/18,Trash - Curbside/Alley Missed Pickup,"Missed last week and now again today. Street is between 17th & Rudolph St. Curbside. 
Friday's Trash/ is being missed often why?",1704 eastland ave,37206.0,METRO,9503,6.0,1750329.89615861,674012.417195703,True
5408,89589,08/10/18,Trash - Curbside/Alley Missed Pickup,This is the second week in a row it was missed.,2106 Scovel St,37208.0,METRO,9208,21.0,1729246.5015277,669636.153449398,True
5409,89593,08/10/18,Trash - Curbside/Alley Missed Pickup,Trash not picked up last Friday ( 8/03) either !!,1704 Eastland Ave,37206.0,METRO,9503,6.0,1750329.93527392,674011.303653886,False
5410,89601,08/10/18,Trash - Curbside/Alley Missed Pickup,Damaged. Crack on the side of the cart,1112 Woodvale Dr,37204.0,RED RIVER,3302,25.0,1733629.82357665,644901.138296355,False
5411,89610,08/10/18,Trash - Backdoor,Missed- trash- backdoor,511 harding pl,37211.0,RED RIVER,2404,26.0,1751837.93562301,635540.09576859,True
5412,89625,08/10/18,Trash - Curbside/Alley Missed Pickup,Curbside trash/miss Friday. Truck already passed next door car was blocking his cart. His cart was out on time.,1701 Claycreek Pt,37013.0,RED RIVER,3503,33.0,1787668.63623315,628856.665644111,True
5413,89632,08/10/18,Trash Collection Complaint,5th time trash has not been collected on the scheduled day. Would like a call from the supervisor.,1420 Eastside Ave,37206.0,METRO,9508,6.0,1748434.99629786,668951.979127062,False
5414,89641,08/10/18,Trash - Curbside/Alley Missed Pickup,Missed trash collection...missed next door neighbor.,1517 Grapeleaf Way,37013.0,RED RIVER,3503,33.0,1791771.85845599,632585.475071187,True
5415,89650,08/10/18,Trash - Curbside/Alley Missed Pickup,Missed - trash,2043 jefferson st,37208.0,METRO,9303,21.0,1728637.25788953,668990.784096858,True
5416,89664,08/10/18,Trash - Curbside/Alley Missed Pickup,"missed..caller states the entire ""even"" numbered side of street was missed.",3636 wood bridge dr,37217.0,RED RIVER,3501,29.0,1788732.74939659,641409.60912373,True
5417,89669,08/10/18,Trash - Backdoor,Missed.,2003 lebanon pike,37210.0,RED RIVER,1504,15.0,1760445.28371298,665193.409862675,True
5418,89676,08/10/18,Trash - Curbside/Alley Missed Pickup,missed the entire cul de sac,1028 elmshade ln,37211.0,RED RIVER,4402,4.0,1754148.32658802,620616.049086928,True
5419,89677,08/10/18,Trash - Backdoor,Missed.,196 Theodore Rd,37214.0,RED RIVER,1504,15.0,1762255.2343834,669557.703959158,True
5420,89678,08/10/18,Trash - Curbside/Alley Missed Pickup,miss,925 McClurkan Ave,37206.0,METRO,9503,5.0,1747840.33244868,679204.457950531,True
5421,89681,08/10/18,Trash - Curbside/Alley Missed Pickup,My Address is 3880 Park Royal Ln.  It's in the new Kensal Green Development.  Please pick up my trash this week and inform the drivers next week to continue down the new development to pick up my trash.,3880 Park Royal Ln,37013.0,RED RIVER,3503,33.0,1793624.75976262,631290.064158708,False
5422,89684,08/10/18,Trash - Curbside/Alley Missed Pickup,The whole street seemed to get skipped-everyone?s garbage is still here!,1020 Elmshade Ln,37211.0,RED RIVER,4402,4.0,1754134.68700345,620496.199620099,False
5423,89690,08/10/18,Trash - Curbside/Alley Missed Pickup,My trash was the only one not picked up.,3001 Hamilton Church Rd 514,37013.0,RED RIVER,4502,32.0,1780899.20323098,628684.503712402,False
5424,89691,08/10/18,Trash - Curbside/Alley Missed Pickup,Several missed,125 Bess Ct S,37013.0,RED RIVER,4404,31.0,1764449.55128939,625463.733276935,True
5425,89701,08/10/18,Trash Collection Complaint,"The trash men are not dumping my trash bin. They only reach inside and grab one bag. There?s a whole bunch of stuff left at the bottom and then they leave the top open and it rains in my bi and gets to be a health hazard. If you would like the video I?ve captured on my home camera of this, I will be glad to turn it in. It?s my understanding they they should dump the whole trash can each week. If this is not fixed, I will report this to the metro health department as a health hazard. Please
 have them dump my whole trash can each week.",1716 Allison Pl,37203.0,METRO,9406,17.0,1741452.62944151,656682.499006483,False
5426,89702,08/11/18,Trash - Curbside/Alley Missed Pickup,"Garbage was not picked, my brown cart was on curbside as usual",3629 Longhaven Xing,37013.0,RED RIVER,4504,32.0,1783450.59497725,622619.335079604,False
5427,89705,08/11/18,Trash - Curbside/Alley Missed Pickup,Requesting to pick up trash. It was not collected on 8/10/18,3745 Priest Lake Dr,37217.0,RED RIVER,3501,29.0,1788322.74462494,641146.495535425,False
5428,89706,08/11/18,Trash Collection Complaint,trash was not picked up 2 weeks in a roll / called and was told they would pick-up next day Friday / but they never came Friday either need Help with this Problem PLEASE,5205 Wessex Dr,37211.0,RED RIVER,3403,27.0,1759216.33761828,627628.093772543,False
5429,89711,08/11/18,Trash - Curbside/Alley Missed Pickup,This is 2 weeks in a row that my garbage has not been picked up. I submitted a request to have my garabage picked up last week as well when it wasn?t and it wasn?t even picked up after I made a request to pick up missed garabage!!!,900 N 14th St,37206.0,WASTE IND,2506,6.0,1748923.53439047,674878.502636577,True
5430,89762,08/11/18,Trash - Curbside/Alley Missed Pickup,"The metal bar is missing from our cart.  We did not damage our cart, and I'm not sure when it disappeared.  Will this affect pickup?",1119 Sigler St,37203.0,METRO,9405,19.0,1736393.66986987,662220.349792168,True
5431,89767,08/11/18,Trash - Curbside/Alley Missed Pickup,"Missed the entire alley, 5 houses.",2108 12th Ave S,37204.0,METRO,9401,17.0,1735617.93442913,654989.698488647,True
5432,89804,08/12/18,Trash - Curbside/Alley Missed Pickup,All carts missee,120 Bess Ct S,37013.0,RED RIVER,4404,31.0,1764243.62532982,625560.71268485,True
5433,89817,08/12/18,Trash - Curbside/Alley Missed Pickup,"This is specifically for recycling
No one in our alley had our recycling picked up last week (first Tuesday of the month) I have more to fill and I have two already",1305 Stainback Ave A,37207.0,METRO,9202,5.0,1742956.33375763,678233.701977655,False
5434,89858,08/13/18,Trash - Curbside/Alley Missed Pickup,cart still out,2120 Murfreesboro Pike,37217.0,RED RIVER,2504,29.0,1775745.14096092,641504.932125368,False
5435,89891,08/13/18,Trash - Curbside/Alley Missed Pickup,trash/miss the whole alley- Wednesday. Overflowing of bags.,2216 29th Ave S,37212.0,METRO,9301,18.0,1728285.13295297,654719.299094215,True
5436,89898,08/13/18,Trash - Backdoor,CART BEEN OUT FOR 3 WEEKS AND STILL NOT GOTTEN,1125 Glendale Ln,37204.0,RED RIVER,3302,25.0,1732652.82612928,641863.560029063,False
5437,89904,08/13/18,Trash - Backdoor,Missed.,615 Harding Pl,37211.0,RED RIVER,2404,26.0,1749160.01119657,635706.533035927,True
5438,89920,08/13/18,Trash - Backdoor,missed backdoor pickup AGAIN,2951 NED SHELTON RD,37217.0,RED RIVER,2504,29.0,1780730.62792785,644468.003013829,True
5439,89949,08/13/18,Trash - Curbside/Alley Missed Pickup,Missed.,2125 Burns St,37216.0,METRO,9505,7.0,1753360.47864457,679207.79999886,True
5440,89962,08/13/18,Trash - Curbside/Alley Missed Pickup,Missed.,14881 Old Hickory Blvd,37211.0,RED RIVER,4403,31.0,1760880.57318108,623127.423498261,True
5441,89963,08/13/18,Trash - Curbside/Alley Missed Pickup,Missed.,14885 Old Hickory Blvd,37013.0,RED RIVER,4403,31.0,1760853.13727768,622887.292270009,True
5442,89986,08/13/18,Trash - Curbside/Alley Missed Pickup,missed...cart out night before.,5401 california ave,37209.0,METRO,9302,20.0,1716582.30186763,667461.607780739,True
5443,90001,08/13/18,Trash - Backdoor,backdoor missed.,2109 lebanon pike,37210.0,RED RIVER,1504,15.0,1761454.73725007,666108.900630569,True
5444,90021,08/13/18,Trash - Curbside/Alley Missed Pickup,cart still out,2111 11th ave s,37204.0,METRO,9401,17.0,1735879.53426584,654848.899902426,False
5445,90045,08/13/18,Trash - Curbside/Alley Missed Pickup,missed,1116 chapel ave,37206.0,WASTE IND,2506,6.0,1750477.56848763,676380.790219963,True
5446,90049,08/13/18,Trash - Curbside/Alley Missed Pickup,My trash was not collected on 8/10/18.,213 new towne ct,37013.0,RED RIVER,3503,33.0,1789025.94211664,633767.294134014,False
5447,90060,08/13/18,Trash - Backdoor,backdoor pick up missed for 4 weeks in a row. {Getting missed every week}. Thursday. Having to call in every week. Sit's on the side of the car-port.,500 camden dr,37211.0,METRO,9406,17.0,1744593.93712127,653229.290144563,True
5448,90082,08/13/18,Trash - Backdoor,Missed.,557 Whispering Hills Dr,37211.0,RED RIVER,2405,27.0,1753594.81762214,631104.177078529,True
5449,90087,08/13/18,Trash - Backdoor,missed backdoor pickup for unit A,149 Antioch Pike,37211.0,RED RIVER,1404,16.0,1753752.54685396,644102.464283296,True
5450,90121,08/13/18,Trash - Curbside/Alley Missed Pickup,Please come get my trash. My bag was inside the brown cart and no restricted items.,120 Bess Ct S,37013.0,RED RIVER,4404,31.0,1764455.5370348,625527.292990392,False
5451,90176,08/14/18,Trash - Curbside/Alley Missed Pickup,"Curb trash/did not pickup, Tuesday. {2} carts. {Cal de sac}.",2303 Dalebrook Ct,37206.0,RED RIVER,1201,6.0,1755075.94800543,674468.419518394,False
5452,90178,08/14/18,Trash Collection Complaint,wants a call TRASH FELL OUT OF CART AND THEY LEFT IT AND THEN THEY SET THE CART DOWN THE STREET NEED TO EMPTY CART AND SET BACK WHERE THEY GOT IT,5923 carl pl,37209.0,RED RIVER,4203,20.0,1714377.28974405,666071.434694871,False
5453,90179,08/14/18,Trash - Curbside/Alley Missed Pickup,1515 Bridgecrest Dr. Unit#120 trash was missed,1515 Bridgecrest Dr 401,37013.0,RED RIVER,4504,28.0,1776856.82814375,630973.134573641,True
5454,90183,08/14/18,Trash - Curbside/Alley Missed Pickup,cart still out,3307 Hawkwood Ln,37207.0,RED RIVER,2202,3.0,1741623.41697714,695560.270866528,False
5455,90210,08/14/18,Trash - Curbside/Alley Missed Pickup,"Lately, I have noticed that our trash is being picked up every other week. I think the trash men on our route have decided to start skipping our road. I went to throw away a bag of trash yesterday and there were huge maggots growing inside.  Our trash is supposed to be picked up once a week on Wednesday. Can you please look into this?",502 36th Ave N A,37209.0,WASTE IND,3306,21.0,1724179.53281309,663932.900971671,False
5456,90226,08/14/18,Trash - Curbside/Alley Missed Pickup,cart still out,5185 Preserve Blvd,37013.0,RED RIVER,4510,32.0,1785166.35071127,619772.500595896,False
5457,90233,08/14/18,Trash - Curbside/Alley Missed Pickup,"Customer states trash/men missing alley, acts like he is picking up garbage but really he is not. Alley Tuesday's {being missed often}",1327 7th Ave N A,37208.0,WASTE IND,3208,19.0,1734548.73112313,672108.186833036,True
5458,90247,08/14/18,Trash - Backdoor,Missed.,5354 Edmondson Pike,37211.0,RED RIVER,3402,27.0,1748842.62154991,626225.061597718,True
5459,90259,08/14/18,Trash - Curbside/Alley Missed Pickup,This is the third week in a row our trash has been missed. I have a newborn baby and my house is just piling up with trash because we have nowhere to put it. We live at the end of the alley so I can only assume they just aren?t going all the way to the end? Three weeks in a row is ridiculous and i really need someone sent out today to take care of this.,2106 Scovel St,37208.0,METRO,9208,21.0,1729247.80503962,669627.94707641,True
5460,90288,08/14/18,Trash Collection Complaint,"Trash/Truck compacts in front of his house, leaving a smell and caller has ask them not to compact it there. Curb pickup there's a alley way where they turn right after the emptied his cart.  Not able to sit outside without the bad smell of the juice that comes out.",103 Eastmoreland St,37207.0,METRO,9207,5.0,1740905.86529177,678803.217977686,False
5461,90296,08/14/18,Trash Collection Complaint,cust says the drivers are leaving the carts out in the middle of the street instead of at their original pickup locations,760 garrison dr,37207.0,RED RIVER,3205,2.0,1727652.57708939,688884.38140566,False
5462,90385,08/14/18,Trash - Backdoor,MISSED....Caller states this is the 2nd week since starting backdoor service trash was missed...cart is on the driveway in the rear near the deck.,733 moormans arm rd,37207.0,RED RIVER,3205,2.0,1728375.91679386,686152.965630256,True
5463,90386,08/14/18,Trash - Curbside/Alley Missed Pickup,Skipped- picked up everybody around him.,6717 Birchbrook Dr,37013.0,RED RIVER,4210,33.0,1797315.42262678,617420.088607004,False
5464,90392,08/14/18,Trash Collection Complaint,"Overflowing- says they have been skipped frequently. Only home on this street that puts out a cart but they expect for it to be collected, needs a collection asap.",5159 hickory hollow pkwy,37013.0,RED RIVER,4504,32.0,1772084.85499488,625515.514750204,False
5465,90394,08/14/18,Trash - Curbside/Alley Missed Pickup,Missed- trash,2506 oakwood ave,37207.0,METRO,9206,8.0,1746111.31695436,684966.072594972,True
5466,90398,08/14/18,Trash - Curbside/Alley Missed Pickup,Missed.,709 Ringgold Dr,37207.0,RED RIVER,3205,2.0,1729446.78898321,687221.675407064,True
5467,90400,08/14/18,Trash - Curbside/Alley Missed Pickup,Missed trash last wednesday and today. Carts running over,2416 Meharry blvd,37208.0,METRO,9303,21.0,1728276.33337955,668666.501782008,True
5468,90401,08/14/18,Trash - Curbside/Alley Missed Pickup,miss,3207 panorama dr,37218.0,RED RIVER,4204,1.0,1720532.03711513,673363.360969234,True
5469,90409,08/14/18,Trash - Curbside/Alley Missed Pickup,"I heard them come by. The got my neighbor's trash, skipped mine.",1312 Ardee Ave,37216.0,RED RIVER,2205,7.0,1756370.73580346,685712.302406082,False
5470,90430,08/15/18,Trash Collection Complaint,Trash cart left in the right of way. I live in a school zone where buses and children are navigating the road. Prior reference numbers are: 00051901; 0051023; 10-7-09; 14-14-09; 10-15-10 11-12-09; 4-21-09; 5-19-09; 7-30-10; 8-1-13; and 4-8-13. Please ask the crew to not leave the cart in the right of way.,3613 Batavia St,37209.0,WASTE IND,3307,21.0,1723665.93011731,665452.900420234,False
5471,90438,08/15/18,Trash - Curbside/Alley Missed Pickup,"missed trash curbside, caller takes out cart when he hears truck coming. Out plenty of time for them to pickup, but when he is pulling cart out way before truck comes they by pass his home. He has been there over 20 years and never had that problem before until now.",1219 Preston Dr,37206.0,RED RIVER,1202,7.0,1756805.32011751,676476.1539598,True
5472,90483,08/15/18,Trash - Curbside/Alley Missed Pickup,missed pick up - wants picked up today !,1821 Ed Temple Blvd,37208.0,METRO,9201,21.0,1725079.94340229,674163.223777835,True
5473,90484,08/15/18,Trash - Backdoor,"Backdoor - missed 2 weeks in a row 
Please note both unit A&B have backdoor waiver WANTS A CALL AS TO WHY HE IS BEING MISSED",4026 Woodmont Blvd B,37205.0,RED RIVER,2303,24.0,1720191.3842536,650604.227470375,True
5474,90485,08/15/18,Trash - Curbside/Alley Missed Pickup,Missed trash cart - SHE WAS AT HOME AND DRIVER JUST DIDN'T STOP,200 Errol Ln,37209.0,RED RIVER,4203S,20.0,1710731.63776368,667323.430710395,True
5475,90489,08/15/18,Trash - Curbside/Alley Missed Pickup,missed AGAIN TIRED OF HAVING TO CALL SEVERAL MISSED,5105 buena vista pike,37218.0,RED RIVER,3201,1.0,1724610.82279086,693039.670841275,True
5476,90499,08/15/18,Trash - Curbside/Alley Missed Pickup,cust says others in the area were missed,4911 tanglewood dr n,37216.0,RED RIVER,2203,7.0,1757225.06135757,693503.333142538,True
5477,90511,08/15/18,Trash - Backdoor,Backdoor/Trash miss for Tuesday. Has been missed often and wants this matter taken care.Will call the Mayor's Office next.,3345 walton ln,37216.0,RED RIVER,2204,8.0,1748558.62143519,693309.595834705,True
